"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "comment", "blank", "total"
"d:\Intersense\exchange_system\app\(root)\AdminManagement\page.jsx", "JavaScript JSX", 235, 0, 0, 12, 12, 259
"d:\Intersense\exchange_system\app\(root)\AppManagement\page.jsx", "JavaScript JSX", 153, 0, 0, 4, 7, 164
"d:\Intersense\exchange_system\app\(root)\ExchangeMonitor\page.jsx", "JavaScript JSX", 140, 0, 0, 4, 10, 154
"d:\Intersense\exchange_system\app\(root)\ExchangeRate\ExchangeReview\page.jsx", "JavaScript JSX", 5, 0, 0, 0, 1, 6
"d:\Intersense\exchange_system\app\(root)\ExchangeRate\page.jsx", "JavaScript JSX", 108, 0, 0, 1, 5, 114
"d:\Intersense\exchange_system\app\(root)\MemberFeedback\page.jsx", "JavaScript JSX", 112, 0, 0, 6, 7, 125
"d:\Intersense\exchange_system\app\(root)\NotificationSettings\page.jsx", "JavaScript JSX", 96, 0, 0, 5, 8, 109
"d:\Intersense\exchange_system\app\(root)\OperationLog\page.jsx", "JavaScript JSX", 129, 0, 0, 2, 13, 144
"d:\Intersense\exchange_system\app\(root)\PermissionManagement\page.jsx", "JavaScript JSX", 176, 0, 0, 8, 12, 196
"d:\Intersense\exchange_system\app\(root)\RegisterReview\[id]\page.jsx", "JavaScript JSX", 80, 0, 0, 0, 5, 85
"d:\Intersense\exchange_system\app\(root)\RegisterReview\page.jsx", "JavaScript JSX", 110, 0, 0, 4, 4, 118
"d:\Intersense\exchange_system\app\(root)\ReportManagement\page.jsx", "JavaScript JSX", 120, 0, 0, 4, 10, 134
"d:\Intersense\exchange_system\app\(root)\RiskNotes\page.jsx", "JavaScript JSX", 8, 0, 0, 0, 2, 10
"d:\Intersense\exchange_system\app\(root)\UploadInfo\page.jsx", "JavaScript JSX", 100, 0, 0, 2, 5, 107
"d:\Intersense\exchange_system\app\(root)\layout.jsx", "JavaScript JSX", 52, 0, 0, 0, 3, 55
"d:\Intersense\exchange_system\app\(root)\page.jsx", "JavaScript JSX", 21, 0, 0, 0, 2, 23
"d:\Intersense\exchange_system\app\api\admin\[id]\route.js", "JavaScript", 0, 0, 7, 2, 1, 10
"d:\Intersense\exchange_system\app\api\admin\route.js", "JavaScript", 0, 0, 37, 2, 11, 50
"d:\Intersense\exchange_system\app\api\exchange\route.js", "JavaScript", 0, 0, 39, 0, 3, 42
"d:\Intersense\exchange_system\app\api\groups\[id]\route.js", "JavaScript", 0, 0, 7, 1, 2, 10
"d:\Intersense\exchange_system\app\api\groups\route.js", "JavaScript", 0, 0, 35, 4, 2, 41
"d:\Intersense\exchange_system\app\api\login\route.js", "JavaScript", 0, 0, 46, 1, 10, 57
"d:\Intersense\exchange_system\app\api\logout\route.js", "JavaScript", 0, 0, 19, 1, 4, 24
"d:\Intersense\exchange_system\app\api\rate\route.js", "JavaScript", 0, 0, 15, 0, 4, 19
"d:\Intersense\exchange_system\app\api\review\route.js", "JavaScript", 0, 0, 16, 2, 1, 19
"d:\Intersense\exchange_system\app\api\role\route.js", "JavaScript", 0, 0, 27, 2, 2, 31
"d:\Intersense\exchange_system\app\api\user\route.js", "JavaScript", 0, 0, 24, 2, 4, 30
"d:\Intersense\exchange_system\app\error.jsx", "JavaScript JSX", 28, 0, 0, 0, 5, 33
"d:\Intersense\exchange_system\app\forgot-password\page.jsx", "JavaScript JSX", 168, 0, 0, 5, 8, 181
"d:\Intersense\exchange_system\app\globals.css", "CSS", 0, 1, 0, 0, 1, 2
"d:\Intersense\exchange_system\app\layout.jsx", "JavaScript JSX", 25, 0, 0, 0, 5, 30
"d:\Intersense\exchange_system\app\login\page.jsx", "JavaScript JSX", 122, 0, 0, 0, 9, 131
"d:\Intersense\exchange_system\app\not-found.jsx", "JavaScript JSX", 15, 0, 0, 0, 1, 16
"d:\Intersense\exchange_system\app\unauthorized\page.jsx", "JavaScript JSX", 19, 0, 0, 0, 4, 23
"Total", "-", 2022, 1, 272, 74, 183, 2552